,Hour,Flow (Veh/Hour),# Lane Points,% Observed
0,2014-04-01 00:00:00,686,48,100
1,2014-04-01 01:00:00,408,48,100
2,2014-04-01 02:00:00,295,48,100
3,2014-04-01 03:00:00,344,48,100
4,2014-04-01 04:00:00,617,48,100
5,2014-04-01 05:00:00,1493,48,100
6,2014-04-01 06:00:00,3058,48,100
7,2014-04-01 07:00:00,3914,48,100
8,2014-04-01 08:00:00,3969,48,100
9,2014-04-01 09:00:00,3830,48,100
10,2014-04-01 10:00:00,3695,48,100
11,2014-04-01 11:00:00,4003,48,92
12,2014-04-01 12:00:00,4330,48,100
13,2014-04-01 13:00:00,4655,48,100
14,2014-04-01 14:00:00,5518,48,100
15,2014-04-01 15:00:00,6618,48,100
16,2014-04-01 16:00:00,6512,48,100
17,2014-04-01 17:00:00,6150,48,100
18,2014-04-01 18:00:00,4530,48,100
19,2014-04-01 19:00:00,3677,48,100
20,2014-04-01 20:00:00,3198,48,100
21,2014-04-01 21:00:00,2653,48,100
22,2014-04-01 22:00:00,1736,48,100
23,2014-04-01 23:00:00,1139,48,100
24,2014-04-02 00:00:00,656,48,100
25,2014-04-02 01:00:00,406,48,100
26,2014-04-02 02:00:00,276,48,100
27,2014-04-02 03:00:00,330,48,100
28,2014-04-02 04:00:00,618,48,100
29,2014-04-02 05:00:00,1337,48,100
30,2014-04-02 06:00:00,2990,48,100
31,2014-04-02 07:00:00,3839,48,100
32,2014-04-02 08:00:00,4161,48,100
33,2014-04-02 09:00:00,3595,48,100
34,2014-04-02 10:00:00,3620,48,100
35,2014-04-02 11:00:00,4084,48,100
36,2014-04-02 12:00:00,4316,48,100
37,2014-04-02 13:00:00,4642,48,100
38,2014-04-02 14:00:00,5559,48,100
39,2014-04-02 15:00:00,6504,48,100
40,2014-04-02 16:00:00,6395,48,100
41,2014-04-02 17:00:00,6287,48,100
42,2014-04-02 18:00:00,4689,48,100
43,2014-04-02 19:00:00,3599,48,100
44,2014-04-02 20:00:00,3016,48,100
45,2014-04-02 21:00:00,2435,48,100
46,2014-04-02 22:00:00,1889,48,100
47,2014-04-02 23:00:00,1310,48,100
48,2014-04-03 00:00:00,728,48,100
49,2014-04-03 01:00:00,445,48,100
50,2014-04-03 02:00:00,345,48,100
51,2014-04-03 03:00:00,364,48,100
52,2014-04-03 04:00:00,604,48,100
53,2014-04-03 05:00:00,1496,48,100
