,Hour,Flow (Veh/Hour),# Lane Points,% Observed
0,2014-10-01 00:00:00,669,48,100
1,2014-10-01 01:00:00,386,48,83
2,2014-10-01 02:00:00,300,48,75
3,2014-10-01 03:00:00,418,48,92
4,2014-10-01 04:00:00,652,48,83
5,2014-10-01 05:00:00,1618,48,100
6,2014-10-01 06:00:00,3046,48,83
7,2014-10-01 07:00:00,4312,48,100
8,2014-10-01 08:00:00,4285,48,92
9,2014-10-01 09:00:00,3749,48,100
10,2014-10-01 10:00:00,3625,48,75
11,2014-10-01 11:00:00,3974,48,92
12,2014-10-01 12:00:00,4361,48,83
13,2014-10-01 13:00:00,4758,48,92
14,2014-10-01 14:00:00,5406,48,92
15,2014-10-01 15:00:00,6276,48,100
16,2014-10-01 16:00:00,6604,48,100
17,2014-10-01 17:00:00,6400,48,100
18,2014-10-01 18:00:00,5280,48,100
19,2014-10-01 19:00:00,3945,48,100
20,2014-10-01 20:00:00,3107,48,100
21,2014-10-01 21:00:00,2604,48,100
22,2014-10-01 22:00:00,1876,48,100
23,2014-10-01 23:00:00,1252,48,100
24,2014-10-02 00:00:00,721,48,100
25,2014-10-02 01:00:00,418,48,100
26,2014-10-02 02:00:00,351,48,83
27,2014-10-02 03:00:00,409,48,100
28,2014-10-02 04:00:00,655,48,100
29,2014-10-02 05:00:00,1650,48,100
30,2014-10-02 06:00:00,3057,48,100
31,2014-10-02 07:00:00,4156,48,100
32,2014-10-02 08:00:00,4231,48,100
33,2014-10-02 09:00:00,3768,48,100
34,2014-10-02 10:00:00,3708,48,100
35,2014-10-02 11:00:00,4009,48,100
36,2014-10-02 12:00:00,4304,48,100
37,2014-10-02 13:00:00,4667,48,83
38,2014-10-02 14:00:00,5613,48,100
39,2014-10-02 15:00:00,6090,48,100
40,2014-10-02 16:00:00,6868,48,100
41,2014-10-02 17:00:00,6301,48,100
42,2014-10-02 18:00:00,5225,48,100
43,2014-10-02 19:00:00,3960,48,92
44,2014-10-02 20:00:00,3184,48,100
45,2014-10-02 21:00:00,2672,48,100
46,2014-10-02 22:00:00,1999,48,100
47,2014-10-02 23:00:00,1217,48,100
48,2014-10-03 00:00:00,727,48,92
49,2014-10-03 01:00:00,465,48,100
50,2014-10-03 02:00:00,421,48,100
51,2014-10-03 03:00:00,425,48,100
52,2014-10-03 04:00:00,728,48,100
53,2014-10-03 05:00:00,1575,48,100
54,2014-10-03 06:00:00,3122,48,100
55,2014-10-03 07:00:00,4303,48,100
56,2014-10-03 08:00:00,4110,48,100
57,2014-10-03 09:00:00,3880,48,100
58,2014-10-03 10:00:00,3923,48,100
59,2014-10-03 11:00:00,4483,48,100
60,2014-10-03 12:00:00,4885,48,100
61,2014-10-03 13:00:00,5440,48,100
62,2014-10-03 14:00:00,6107,48,100
63,2014-10-03 15:00:00,6630,48,100
64,2014-10-03 16:00:00,6641,48,100
65,2014-10-03 17:00:00,5608,48,83
66,2014-10-03 18:00:00,5389,48,92
67,2014-10-03 19:00:00,4123,48,83
68,2014-10-03 20:00:00,3396,48,100
69,2014-10-03 21:00:00,3113,48,75
70,2014-10-03 22:00:00,2605,48,100
71,2014-10-03 23:00:00,1853,48,92
72,2014-10-06 00:00:00,672,48,83
73,2014-10-06 01:00:00,417,48,75
74,2014-10-06 02:00:00,297,48,100
75,2014-10-06 03:00:00,366,48,100
76,2014-10-06 04:00:00,684,48,100
77,2014-10-06 05:00:00,1668,48,100
78,2014-10-06 06:00:00,3142,48,100
79,2014-10-06 07:00:00,4303,48,100
80,2014-10-06 08:00:00,4167,48,92
81,2014-10-06 09:00:00,3633,48,100
82,2014-10-06 10:00:00,3751,48,100
83,2014-10-06 11:00:00,3888,48,100
84,2014-10-06 12:00:00,4212,48,92
85,2014-10-06 13:00:00,4414,48,100
86,2014-10-06 14:00:00,5439,48,100
87,2014-10-06 15:00:00,6458,48,100
88,2014-10-06 16:00:00,6546,48,83
89,2014-10-06 17:00:00,6262,48,100
90,2014-10-06 18:00:00,4597,48,100
91,2014-10-06 19:00:00,3374,48,100
92,2014-10-06 20:00:00,2677,48,100
93,2014-10-06 21:00:00,2287,48,100
94,2014-10-06 22:00:00,1681,48,100
95,2014-10-06 23:00:00,1064,48,100
96,2014-10-07 00:00:00,640,48,100
97,2014-10-07 01:00:00,368,48,100
98,2014-10-07 02:00:00,281,48,100
99,2014-10-07 03:00:00,369,48,100
100,2014-10-07 04:00:00,652,48,100
101,2014-10-07 05:00:00,1626,48,100
102,2014-10-07 06:00:00,3033,48,75
103,2014-10-07 07:00:00,4248,48,100
104,2014-10-07 08:00:00,4099,48,83
105,2014-10-07 09:00:00,3786,48,100
106,2014-10-07 10:00:00,3789,48,92
107,2014-10-07 11:00:00,3918,48,92
108,2014-10-07 12:00:00,4271,48,100
109,2014-10-07 13:00:00,4481,48,100
110,2014-10-07 14:00:00,5635,48,100
111,2014-10-07 15:00:00,6586,48,100
112,2014-10-07 16:00:00,6676,48,100
113,2014-10-07 17:00:00,6300,48,100
114,2014-10-07 18:00:00,4975,48,100
115,2014-10-07 19:00:00,3700,48,83
116,2014-10-07 20:00:00,2757,48,100
117,2014-10-07 21:00:00,2431,48,100
118,2014-10-07 22:00:00,1758,48,100
119,2014-10-07 23:00:00,1062,48,100
120,2014-10-08 00:00:00,691,48,92
121,2014-10-08 01:00:00,402,48,100
122,2014-10-08 02:00:00,356,48,100
123,2014-10-08 03:00:00,371,48,100
124,2014-10-08 04:00:00,679,48,100
125,2014-10-08 05:00:00,1676,48,100
126,2014-10-08 06:00:00,2987,48,100
127,2014-10-08 07:00:00,4372,48,75
128,2014-10-08 08:00:00,4253,48,100
129,2014-10-08 09:00:00,3834,48,100
130,2014-10-08 10:00:00,3757,48,100
131,2014-10-08 11:00:00,3897,48,100
132,2014-10-08 12:00:00,4197,48,100
133,2014-10-08 13:00:00,4687,48,100
134,2014-10-08 14:00:00,5521,48,100
135,2014-10-08 15:00:00,6451,48,92
136,2014-10-08 16:00:00,6586,48,100
137,2014-10-08 17:00:00,6379,48,100
138,2014-10-08 18:00:00,5458,48,100
139,2014-10-08 19:00:00,3917,48,100
140,2014-10-08 20:00:00,3017,48,100
141,2014-10-08 21:00:00,2407,48,100
142,2014-10-08 22:00:00,1741,48,92
143,2014-10-08 23:00:00,1223,48,100
144,2014-10-09 00:00:00,633,48,100
145,2014-10-09 01:00:00,428,48,100
146,2014-10-09 02:00:00,344,48,100
147,2014-10-09 03:00:00,406,48,100
148,2014-10-09 04:00:00,633,48,100
149,2014-10-09 05:00:00,1655,48,83
150,2014-10-09 06:00:00,3155,48,100
151,2014-10-09 07:00:00,4483,48,92
152,2014-10-09 08:00:00,4287,48,92
153,2014-10-09 09:00:00,4053,48,100
154,2014-10-09 10:00:00,3789,48,100
155,2014-10-09 11:00:00,4106,48,83
156,2014-10-09 12:00:00,4345,48,92
157,2014-10-09 13:00:00,4689,48,100
158,2014-10-09 14:00:00,5674,48,100
159,2014-10-09 15:00:00,6605,48,92
160,2014-10-09 16:00:00,6757,48,83
161,2014-10-09 17:00:00,6500,48,100
162,2014-10-09 18:00:00,4986,48,92
163,2014-10-09 19:00:00,3942,48,92
164,2014-10-09 20:00:00,3068,48,92
165,2014-10-09 21:00:00,2585,48,100
166,2014-10-09 22:00:00,1979,48,92
167,2014-10-09 23:00:00,1286,48,100
168,2014-10-10 00:00:00,733,48,100
169,2014-10-10 01:00:00,469,48,100
170,2014-10-10 02:00:00,363,48,100
171,2014-10-10 03:00:00,404,48,100
172,2014-10-10 04:00:00,657,48,100
173,2014-10-10 05:00:00,1533,48,92
174,2014-10-10 06:00:00,3190,48,92
175,2014-10-10 07:00:00,4344,48,100
176,2014-10-10 08:00:00,4171,48,83
177,2014-10-10 09:00:00,4198,48,92
178,2014-10-10 10:00:00,4358,48,100
179,2014-10-10 11:00:00,4798,48,92
180,2014-10-10 12:00:00,5044,48,100
181,2014-10-10 13:00:00,5538,48,100
182,2014-10-10 14:00:00,6441,48,100
183,2014-10-10 15:00:00,6905,48,100
184,2014-10-10 16:00:00,6717,48,83
185,2014-10-10 17:00:00,6252,48,83
186,2014-10-10 18:00:00,5543,48,100
187,2014-10-10 19:00:00,4438,48,100
188,2014-10-10 20:00:00,3420,48,100
189,2014-10-10 21:00:00,3109,48,100
190,2014-10-10 22:00:00,2728,48,100
191,2014-10-10 23:00:00,1811,48,92
192,2014-10-14 00:00:00,613,48,100
193,2014-10-14 01:00:00,344,48,100
194,2014-10-14 02:00:00,308,48,100
195,2014-10-14 03:00:00,320,48,100
196,2014-10-14 04:00:00,645,48,100
197,2014-10-14 05:00:00,1621,48,100
198,2014-10-14 06:00:00,3100,48,100
199,2014-10-14 07:00:00,4083,48,83
200,2014-10-14 08:00:00,4286,48,100
201,2014-10-14 09:00:00,3799,48,92
202,2014-10-14 10:00:00,3610,48,92
203,2014-10-14 11:00:00,4036,48,100
204,2014-10-14 12:00:00,4350,48,83
205,2014-10-14 13:00:00,4572,48,100
206,2014-10-14 14:00:00,5686,48,92
207,2014-10-14 15:00:00,6452,48,100
208,2014-10-14 16:00:00,6695,48,92
209,2014-10-14 17:00:00,6495,48,100
210,2014-10-14 18:00:00,5101,48,100
211,2014-10-14 19:00:00,3623,48,83
212,2014-10-14 20:00:00,2711,48,92
213,2014-10-14 21:00:00,2409,48,100
214,2014-10-14 22:00:00,1670,48,100
215,2014-10-14 23:00:00,1097,48,100
216,2014-10-15 00:00:00,644,48,83
217,2014-10-15 01:00:00,419,48,100
218,2014-10-15 02:00:00,337,48,100
219,2014-10-15 03:00:00,408,48,92
220,2014-10-15 04:00:00,648,48,83
221,2014-10-15 05:00:00,1629,48,100
222,2014-10-15 06:00:00,3085,48,100
223,2014-10-15 07:00:00,4234,48,83
224,2014-10-15 08:00:00,4227,48,92
225,2014-10-15 09:00:00,3660,48,100
226,2014-10-15 10:00:00,3604,48,100
227,2014-10-15 11:00:00,3984,48,100
228,2014-10-15 12:00:00,4477,48,100
229,2014-10-15 13:00:00,4595,48,100
230,2014-10-15 14:00:00,5426,48,100
231,2014-10-15 15:00:00,6554,48,100
232,2014-10-15 16:00:00,6655,48,83
233,2014-10-15 17:00:00,6409,48,100
234,2014-10-15 18:00:00,5263,48,92
235,2014-10-15 19:00:00,3759,48,83
236,2014-10-15 20:00:00,2956,48,100
237,2014-10-15 21:00:00,2543,48,100
238,2014-10-15 22:00:00,1755,48,100
239,2014-10-15 23:00:00,1185,48,100
240,2014-10-16 00:00:00,839,48,100
241,2014-10-16 01:00:00,422,48,100
242,2014-10-16 02:00:00,363,48,100
243,2014-10-16 03:00:00,395,48,83
244,2014-10-16 04:00:00,622,48,92
245,2014-10-16 05:00:00,1617,48,92
246,2014-10-16 06:00:00,3113,48,100
247,2014-10-16 07:00:00,4296,48,100
248,2014-10-16 08:00:00,4189,48,100
249,2014-10-16 09:00:00,3885,48,100
250,2014-10-16 10:00:00,3685,48,67
251,2014-10-16 11:00:00,4010,48,83
252,2014-10-16 12:00:00,4368,48,100
253,2014-10-16 13:00:00,4825,48,100
254,2014-10-16 14:00:00,5745,48,100
255,2014-10-16 15:00:00,6536,48,100
256,2014-10-16 16:00:00,6676,48,100
257,2014-10-16 17:00:00,6334,48,100
258,2014-10-16 18:00:00,5272,48,100
259,2014-10-16 19:00:00,3770,48,100
260,2014-10-16 20:00:00,2999,48,83
261,2014-10-16 21:00:00,2604,48,92
262,2014-10-16 22:00:00,1773,48,100
263,2014-10-16 23:00:00,1190,48,100
264,2014-10-17 00:00:00,771,48,100
265,2014-10-17 01:00:00,435,48,100
266,2014-10-17 02:00:00,405,48,100
267,2014-10-17 03:00:00,380,48,100
268,2014-10-17 04:00:00,710,48,100
269,2014-10-17 05:00:00,1622,48,100
270,2014-10-17 06:00:00,3103,48,100
271,2014-10-17 07:00:00,4415,48,100
272,2014-10-17 08:00:00,4162,48,83
273,2014-10-17 09:00:00,3782,48,100
274,2014-10-17 10:00:00,4028,48,100
275,2014-10-17 11:00:00,4513,48,100
276,2014-10-17 12:00:00,5010,48,100
277,2014-10-17 13:00:00,5237,48,100
278,2014-10-17 14:00:00,6178,48,92
279,2014-10-17 15:00:00,6643,48,100
280,2014-10-17 16:00:00,7133,48,100
281,2014-10-17 17:00:00,6582,48,83
282,2014-10-17 18:00:00,5320,48,100
283,2014-10-17 19:00:00,4068,48,100
284,2014-10-17 20:00:00,3119,48,92
285,2014-10-17 21:00:00,2938,48,100
286,2014-10-17 22:00:00,2438,48,92
287,2014-10-17 23:00:00,1745,48,100
288,2014-10-20 00:00:00,673,48,100
289,2014-10-20 01:00:00,390,48,100
290,2014-10-20 02:00:00,313,48,100
291,2014-10-20 03:00:00,347,48,100
292,2014-10-20 04:00:00,690,48,100
293,2014-10-20 05:00:00,1651,48,100
294,2014-10-20 06:00:00,3037,48,83
295,2014-10-20 07:00:00,4152,48,100
296,2014-10-20 08:00:00,4149,48,100
297,2014-10-20 09:00:00,3586,48,100
298,2014-10-20 10:00:00,3607,48,100
299,2014-10-20 11:00:00,3987,48,100
300,2014-10-20 12:00:00,4281,48,100
301,2014-10-20 13:00:00,4443,48,25
302,2014-10-20 14:00:00,5467,48,0
303,2014-10-20 15:00:00,6338,48,0
304,2014-10-20 16:00:00,6606,48,67
305,2014-10-20 17:00:00,7170,48,0
306,2014-10-20 18:00:00,4882,48,92
307,2014-10-20 19:00:00,3285,48,100
308,2014-10-20 20:00:00,2673,48,100
309,2014-10-20 21:00:00,2164,48,100
310,2014-10-20 22:00:00,1588,48,100
311,2014-10-20 23:00:00,1016,48,100
312,2014-10-21 00:00:00,579,48,100
313,2014-10-21 01:00:00,370,48,100
314,2014-10-21 02:00:00,279,48,100
315,2014-10-21 03:00:00,330,48,100
316,2014-10-21 04:00:00,623,48,100
317,2014-10-21 05:00:00,1635,48,100
318,2014-10-21 06:00:00,3010,48,92
319,2014-10-21 07:00:00,4266,48,100
320,2014-10-21 08:00:00,4246,48,100
321,2014-10-21 09:00:00,3742,48,100
322,2014-10-21 10:00:00,3609,48,100
323,2014-10-21 11:00:00,3868,48,100
324,2014-10-21 12:00:00,4132,48,100
325,2014-10-21 13:00:00,4546,48,100
326,2014-10-21 14:00:00,5686,48,100
327,2014-10-21 15:00:00,6658,48,83
328,2014-10-21 16:00:00,7059,48,100
329,2014-10-21 17:00:00,6611,48,100
330,2014-10-21 18:00:00,5329,48,100
331,2014-10-21 19:00:00,3707,48,100
332,2014-10-21 20:00:00,2791,48,100
333,2014-10-21 21:00:00,2414,48,100
334,2014-10-21 22:00:00,1733,48,100
335,2014-10-21 23:00:00,1119,48,100
336,2014-10-22 00:00:00,642,48,100
337,2014-10-22 01:00:00,364,48,100
338,2014-10-22 02:00:00,302,48,100
339,2014-10-22 03:00:00,389,48,100
340,2014-10-22 04:00:00,636,48,83
341,2014-10-22 05:00:00,1592,48,100
342,2014-10-22 06:00:00,3021,48,100
343,2014-10-22 07:00:00,4292,48,100
344,2014-10-22 08:00:00,4317,48,92
345,2014-10-22 09:00:00,3702,48,100
346,2014-10-22 10:00:00,3516,48,92
347,2014-10-22 11:00:00,3970,48,100
348,2014-10-22 12:00:00,4377,48,100
349,2014-10-22 13:00:00,4609,48,83
350,2014-10-22 14:00:00,5618,48,100
351,2014-10-22 15:00:00,6427,48,100
352,2014-10-22 16:00:00,6502,48,100
353,2014-10-22 17:00:00,6122,48,100
354,2014-10-22 18:00:00,5581,48,100
355,2014-10-22 19:00:00,3840,48,100
356,2014-10-22 20:00:00,2953,48,100
357,2014-10-22 21:00:00,2486,48,100
358,2014-10-22 22:00:00,1824,48,100
359,2014-10-22 23:00:00,1197,48,100
360,2014-10-23 00:00:00,694,48,100
361,2014-10-23 01:00:00,394,48,100
362,2014-10-23 02:00:00,328,48,100
363,2014-10-23 03:00:00,363,48,100
364,2014-10-23 04:00:00,711,48,92
365,2014-10-23 05:00:00,1643,48,100
366,2014-10-23 06:00:00,2990,48,100
367,2014-10-23 07:00:00,4190,48,100
368,2014-10-23 08:00:00,4266,48,100
369,2014-10-23 09:00:00,3857,48,100
370,2014-10-23 10:00:00,3654,48,50
371,2014-10-23 11:00:00,3944,48,50
372,2014-10-23 12:00:00,4507,48,92
373,2014-10-23 13:00:00,4689,48,100
374,2014-10-23 14:00:00,5676,48,100
375,2014-10-23 15:00:00,6620,48,100
376,2014-10-23 16:00:00,6633,48,92
377,2014-10-23 17:00:00,6261,48,100
378,2014-10-23 18:00:00,4952,48,100
379,2014-10-23 19:00:00,3494,48,100
380,2014-10-23 20:00:00,2931,48,100
381,2014-10-23 21:00:00,2624,48,100
382,2014-10-23 22:00:00,1897,48,100
383,2014-10-23 23:00:00,1237,48,100
384,2014-10-24 00:00:00,720,48,100
385,2014-10-24 01:00:00,489,48,100
386,2014-10-24 02:00:00,361,48,100
387,2014-10-24 03:00:00,391,48,100
388,2014-10-24 04:00:00,695,48,100
389,2014-10-24 05:00:00,1564,48,100
390,2014-10-24 06:00:00,3122,48,83
391,2014-10-24 07:00:00,4368,48,100
392,2014-10-24 08:00:00,4082,48,100
393,2014-10-24 09:00:00,3958,48,100
394,2014-10-24 10:00:00,4026,48,58
395,2014-10-24 11:00:00,4480,48,75
396,2014-10-24 12:00:00,4992,48,100
397,2014-10-24 13:00:00,5242,48,100
398,2014-10-24 14:00:00,6331,48,100
399,2014-10-24 15:00:00,6810,48,100
400,2014-10-24 16:00:00,6721,48,100
401,2014-10-24 17:00:00,6282,48,100
402,2014-10-24 18:00:00,5258,48,100
403,2014-10-24 19:00:00,4154,48,100
404,2014-10-24 20:00:00,3385,48,100
405,2014-10-24 21:00:00,2869,48,100
406,2014-10-24 22:00:00,2369,48,100
407,2014-10-24 23:00:00,1963,48,100
408,2014-10-27 00:00:00,582,48,100
409,2014-10-27 01:00:00,424,48,100
410,2014-10-27 02:00:00,293,48,100
411,2014-10-27 03:00:00,375,48,100
412,2014-10-27 04:00:00,682,48,100
413,2014-10-27 05:00:00,1686,48,100
414,2014-10-27 06:00:00,3024,48,100
415,2014-10-27 07:00:00,4277,48,100
416,2014-10-27 08:00:00,4151,48,100
417,2014-10-27 09:00:00,3481,48,100
418,2014-10-27 10:00:00,3579,48,100
419,2014-10-27 11:00:00,3871,48,100
420,2014-10-27 12:00:00,4083,48,100
421,2014-10-27 13:00:00,4481,48,100
422,2014-10-27 14:00:00,5595,48,100
423,2014-10-27 15:00:00,6214,48,100
424,2014-10-27 16:00:00,5836,48,100
425,2014-10-27 17:00:00,6546,48,100
426,2014-10-27 18:00:00,4965,48,100
427,2014-10-27 19:00:00,3308,48,100
428,2014-10-27 20:00:00,2585,48,100
429,2014-10-27 21:00:00,2265,48,100
430,2014-10-27 22:00:00,1498,48,100
431,2014-10-27 23:00:00,1066,48,92
432,2014-10-28 00:00:00,615,48,100
433,2014-10-28 01:00:00,352,48,100
434,2014-10-28 02:00:00,294,48,100
435,2014-10-28 03:00:00,345,48,100
436,2014-10-28 04:00:00,615,48,100
437,2014-10-28 05:00:00,1644,48,83
438,2014-10-28 06:00:00,2990,48,100
439,2014-10-28 07:00:00,4111,48,100
440,2014-10-28 08:00:00,4198,48,100
441,2014-10-28 09:00:00,3808,48,92
442,2014-10-28 10:00:00,3673,48,100
443,2014-10-28 11:00:00,3865,48,92
444,2014-10-28 12:00:00,4160,48,100
445,2014-10-28 13:00:00,4578,48,100
446,2014-10-28 14:00:00,5663,48,100
447,2014-10-28 15:00:00,6356,48,100
448,2014-10-28 16:00:00,6548,48,100
449,2014-10-28 17:00:00,6502,48,100
450,2014-10-28 18:00:00,5221,48,100
451,2014-10-28 19:00:00,3469,48,83
452,2014-10-28 20:00:00,2709,48,83
453,2014-10-28 21:00:00,2390,48,100
454,2014-10-28 22:00:00,1760,48,92
455,2014-10-28 23:00:00,1117,48,100
456,2014-10-29 00:00:00,674,48,100
457,2014-10-29 01:00:00,372,48,100
458,2014-10-29 02:00:00,295,48,100
459,2014-10-29 03:00:00,362,48,100
460,2014-10-29 04:00:00,655,48,100
461,2014-10-29 05:00:00,1597,48,83
462,2014-10-29 06:00:00,3056,48,100
463,2014-10-29 07:00:00,4227,48,100
464,2014-10-29 08:00:00,4237,48,100
465,2014-10-29 09:00:00,3725,48,92
466,2014-10-29 10:00:00,3481,48,100
467,2014-10-29 11:00:00,3996,48,100
468,2014-10-29 12:00:00,4260,48,100
469,2014-10-29 13:00:00,4600,48,100
470,2014-10-29 14:00:00,5582,48,100
471,2014-10-29 15:00:00,6454,48,100
472,2014-10-29 16:00:00,6612,48,100
473,2014-10-29 17:00:00,6452,48,100
474,2014-10-29 18:00:00,5136,48,100
475,2014-10-29 19:00:00,3650,48,100
476,2014-10-29 20:00:00,3046,48,100
477,2014-10-29 21:00:00,2496,48,100
478,2014-10-29 22:00:00,1711,48,100
479,2014-10-29 23:00:00,1187,48,100
480,2014-10-30 00:00:00,689,48,92
481,2014-10-30 01:00:00,407,48,83
482,2014-10-30 02:00:00,319,48,100
483,2014-10-30 03:00:00,371,48,100
484,2014-10-30 04:00:00,662,48,100
485,2014-10-30 05:00:00,1632,48,100
486,2014-10-30 06:00:00,3085,48,100
487,2014-10-30 07:00:00,4136,48,100
488,2014-10-30 08:00:00,4372,48,100
489,2014-10-30 09:00:00,3758,48,100
490,2014-10-30 10:00:00,3612,48,100
491,2014-10-30 11:00:00,3997,48,100
492,2014-10-30 12:00:00,4345,48,100
493,2014-10-30 13:00:00,4735,48,100
494,2014-10-30 14:00:00,5879,48,100
495,2014-10-30 15:00:00,6496,48,100
496,2014-10-30 16:00:00,6783,48,100
497,2014-10-30 17:00:00,6644,48,100
498,2014-10-30 18:00:00,5405,48,100
499,2014-10-30 19:00:00,3835,48,100
500,2014-10-30 20:00:00,2983,48,100
501,2014-10-30 21:00:00,2573,48,100
502,2014-10-30 22:00:00,1896,48,100
503,2014-10-30 23:00:00,1343,48,100
504,2014-10-31 00:00:00,795,48,100
505,2014-10-31 01:00:00,459,48,100
506,2014-10-31 02:00:00,415,48,100
507,2014-10-31 03:00:00,399,48,100
508,2014-10-31 04:00:00,646,48,100
509,2014-10-31 05:00:00,1690,48,100
510,2014-10-31 06:00:00,3078,48,100
511,2014-10-31 07:00:00,4275,48,100
512,2014-10-31 08:00:00,4132,48,100
513,2014-10-31 09:00:00,3942,48,100
514,2014-10-31 10:00:00,4161,48,100
515,2014-10-31 11:00:00,4491,48,100
516,2014-10-31 12:00:00,5009,48,100
517,2014-10-31 13:00:00,5411,48,100
518,2014-10-31 14:00:00,6343,48,100
519,2014-10-31 15:00:00,6922,48,100
520,2014-10-31 16:00:00,6859,48,100
521,2014-10-31 17:00:00,6383,48,100
522,2014-10-31 18:00:00,4680,48,100
523,2014-10-31 19:00:00,3229,48,100
524,2014-10-31 20:00:00,3230,48,100
525,2014-10-31 21:00:00,3036,48,100
526,2014-10-31 22:00:00,2393,48,100
527,2014-10-31 23:00:00,1679,48,100
528,2014-11-03 00:00:00,521,48,100
529,2014-11-03 01:00:00,360,48,100
530,2014-11-03 02:00:00,288,48,100
531,2014-11-03 03:00:00,359,48,100
532,2014-11-03 04:00:00,718,48,100
533,2014-11-03 05:00:00,1736,48,100
534,2014-11-03 06:00:00,3344,48,100
535,2014-11-03 07:00:00,4221,48,100
536,2014-11-03 08:00:00,4314,48,92
537,2014-11-03 09:00:00,3738,48,100
538,2014-11-03 10:00:00,3613,48,100
539,2014-11-03 11:00:00,4019,48,75
540,2014-11-03 12:00:00,4363,48,100
541,2014-11-03 13:00:00,4399,48,100
542,2014-11-03 14:00:00,5565,48,100
543,2014-11-03 15:00:00,6482,48,100
544,2014-11-03 16:00:00,6622,48,100
545,2014-11-03 17:00:00,6249,48,100
546,2014-11-03 18:00:00,4535,48,100
547,2014-11-03 19:00:00,3101,48,100
548,2014-11-03 20:00:00,2459,48,100
549,2014-11-03 21:00:00,2060,48,100
550,2014-11-03 22:00:00,1501,48,100
551,2014-11-03 23:00:00,1000,48,100
552,2014-11-04 00:00:00,541,48,100
553,2014-11-04 01:00:00,325,48,100
554,2014-11-04 02:00:00,261,48,100
555,2014-11-04 03:00:00,371,48,100
556,2014-11-04 04:00:00,663,48,100
557,2014-11-04 05:00:00,1657,48,83
558,2014-11-04 06:00:00,3425,48,100
559,2014-11-04 07:00:00,4185,48,100
560,2014-11-04 08:00:00,4219,48,100
561,2014-11-04 09:00:00,3764,48,100
562,2014-11-04 10:00:00,3631,48,100
563,2014-11-04 11:00:00,3894,48,100
564,2014-11-04 12:00:00,4271,48,92
565,2014-11-04 13:00:00,4602,48,100
566,2014-11-04 14:00:00,5619,48,100
567,2014-11-04 15:00:00,6440,48,100
568,2014-11-04 16:00:00,6800,48,75
569,2014-11-04 17:00:00,6302,48,92
570,2014-11-04 18:00:00,4935,48,100
571,2014-11-04 19:00:00,3264,48,100
572,2014-11-04 20:00:00,2646,48,100
573,2014-11-04 21:00:00,2317,48,100
574,2014-11-04 22:00:00,1673,48,100
